Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2014-073066,7628320160,03/08/2014 09:45:00 PM,03/09/2014 04:15:00 AM,03/09/2014 05:30:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E2,CAPITOL HILL,14XX BLOCK OF BROADWAY,-122.320771381,47.61351951
2014-069512,7631245634,03/05/2014 09:00:00 PM,03/06/2014 05:00:00 AM,03/06/2014 05:04:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,S,S3,RAINIER BEACH,91XX BLOCK OF 48TH AVE S,-122.272855926,47.52185329
2014-069509,7683478063,03/06/2014 05:00:00 AM,03/06/2014 05:02:00 AM,03/06/2014 05:03:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,C,C1,CAPITOL HILL,7XX BLOCK OF HARVARD AVE E,-122.32236938,47.62598118
2014-068378,7691458473,03/04/2014 06:00:00 PM,03/05/2014 04:45:00 AM,03/05/2014 05:28:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,E,E1,CAPITOL HILL,2XX BLOCK OF 10TH AVE E,-122.319548538,47.6205013
2014-067283,7634062949,03/04/2014 04:45:00 AM,,03/04/2014 05:01:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,N,N2,NORTHGATE,15XX BLOCK OF N 115TH ST,-122.33809037,47.7123018
2014-065331,7680194546,03/02/2014 05:57:00 AM,,03/02/2014 05:57:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SW,F,F1,HIGH POINT,SYLVAN WAY SW / SW SYLVAN HEIGHTS DR,-122.368841395,47.5403703
2014-065330,7683484076,03/02/2014 05:55:00 AM,,03/02/2014 05:55:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,B,B1,BALLARD SOUTH,54XX BLOCK OF BALLARD AVE NW,-122.385579854,47.6681408
2014-065325,7643157946,03/02/2014 05:36:00 AM,,03/02/2014 05:36:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,M,M3,DOWNTOWN COMMERCIAL,14XX BLOCK OF 4TH AVE,-122.336229324,47.60971758
2014-065322,7699815271,03/02/2014 05:34:00 AM,,03/02/2014 05:34:00 AM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,S,R,R1,NORTH BEACON HILL,12TH AVE S / S MASSACHUSETTS ST,-122.317276076,47.58843652
2014-065194,7692730354,03/02/2014 05:31:00 AM,,03/02/2014 05:31:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,G,G2,CENTRAL AREA/SQUIRE PARK,20TH AVE / E CHERRY ST,-122.306319,47.60801682
2014-064288,7696971393,03/01/2014 05:30:00 AM,03/01/2014 05:40:00 AM,03/01/2014 05:40:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,C,C1,CAPITOL HILL,14XX BLOCK OF E OLIVE ST,-122.313511089,47.6164507
2014-064154,7648279136,03/01/2014 01:37:00 AM,,03/01/2014 05:26:00 AM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,E,C,C3,CENTRAL AREA/SQUIRE PARK,17XX BLOCK OF 30TH AVE,-122.293538643,47.61702466
2014-064154,7648279137,03/01/2014 01:37:00 AM,,03/01/2014 05:26:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,E,C,C3,CENTRAL AREA/SQUIRE PARK,17XX BLOCK OF 30TH AVE,-122.293538643,47.61702466
2014-064154,7648279139,03/01/2014 01:37:00 AM,,03/01/2014 05:26:00 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,E,C,C3,CENTRAL AREA/SQUIRE PARK,17XX BLOCK OF 30TH AVE,-122.293538643,47.61702466
2014-064277,7638193909,02/28/2014 11:45:00 PM,03/01/2014 04:00:00 AM,03/01/2014 05:20:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,D,D1,BELLTOWN,21XX BLOCK OF ELLIOTT AVE,-122.345645363,47.61140367
2014-064276,7694424563,03/01/2014 05:15:00 AM,,03/01/2014 05:18:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,N,N2,NORTHGATE,23XX BLOCK OF N 137TH ST,-122.330207846,47.72863752
2014-063046,7662897319,02/28/2014 01:00:00 AM,02/28/2014 05:56:00 AM,02/28/2014 05:56:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,M,M3,DOWNTOWN COMMERCIAL,PINE ST / 4TH AVE,-122.337591975,47.61120737
2014-063044,7679618981,02/27/2014 08:30:00 PM,02/28/2014 05:30:00 AM,02/28/2014 05:54:00 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,U,U1,SANDPOINT,91XX BLOCK OF 23RD AVE NE,-122.304176235,47.69548862
2014-063034,7665369950,02/27/2014 12:00:00 PM,02/28/2014 05:30:00 AM,02/28/2014 05:31:00 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,J,J2,BALLARD NORTH,70XX BLOCK OF 17TH AVE NW,-122.378919276,47.68042807
