Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2012-324375,7654591200,09/24/2012 03:50:00 AM,,09/24/2012 03:50:00 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,W,W2,ALASKA JUNCTION,32XX BLOCK OF SW AVALON WAY,-122.374195745,47.56407561
2012-324372,7638845941,09/23/2012 06:45:00 PM,09/24/2012 03:10:00 AM,09/24/2012 03:42:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,D,D2,SLU/CASCADE,19XX BLOCK OF 9TH AVE,-122.335086053,47.61600094
2012-324365,7679707094,09/24/2012 03:29:00 AM,,09/24/2012 03:29:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,Q,Q2,QUEEN ANNE,14XX BLOCK OF W DRAVUS ST,-122.376434005,47.64847254
2012-323270,7664397345,09/23/2012 03:47:00 AM,,09/23/2012 03:47:00 AM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,S,S,S2,BRIGHTON/DUNLAP,81XX BLOCK OF RAINIER AVE S,-122.26998817,47.52994002
2012-323256,7642165321,09/23/2012 03:22:00 AM,,09/23/2012 03:22:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,S,S1,NEW HOLLY,71XX BLOCK OF MARTIN LUTHER KING JR WAY S,-122.281736023,47.53796309
2012-323184,7668983592,09/23/2012 01:00:00 AM,09/23/2012 02:15:00 AM,09/23/2012 03:21:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D1,BELLTOWN,BELL ST / 1ST AVE,-122.346512951,47.61337517
2012-323228,7642581322,09/23/2012 02:44:00 AM,09/23/2012 03:19:00 AM,09/23/2012 03:19:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W3,FAUNTLEROY SW,85XX BLOCK OF FAUNTLEE CREST SW,-122.386325182,47.52648299
2012-321808,7643424069,09/22/2012 03:02:00 AM,,09/22/2012 03:53:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,J,J2,BALLARD NORTH,73XX BLOCK OF 25TH AVE NW,-122.388694779,47.68222325
2012-321837,7626809840,09/22/2012 03:44:00 AM,,09/22/2012 03:44:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SW,F,F3,HIGHLAND PARK,11TH AVE SW / SW ROXBURY ST,-122.349243929,47.5173261
2012-321820,7678812675,09/22/2012 03:28:00 AM,,09/22/2012 03:28:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,O,O3,GEORGETOWN,69XX BLOCK OF FOX AVE S,-122.326668957,47.54014155
2012-321817,7696809347,09/22/2012 03:20:00 AM,,09/22/2012 03:20:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,L,L1,NORTHGATE,12XX BLOCK OF NE 143RD ST,-122.314070854,47.73213862
2012-320184,7627833389,09/21/2012 01:38:00 AM,,09/21/2012 03:32:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,M,M1,DOWNTOWN COMMERCIAL,15XX BLOCK OF 1ST AVE,-122.340467725,47.6093176
2012-317487,7686085909,09/19/2012 03:19:00 AM,,09/19/2012 03:19:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U2,UNIVERSITY,47XX BLOCK OF 15TH AVE NE,-122.311951562,47.66398823
2012-317476,7674770428,09/19/2012 03:03:00 AM,,09/19/2012 03:03:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,N,N2,BITTERLAKE,AURORA AVE N / N 135TH ST,-122.345017033,47.72685955
2012-316059,7697751708,09/18/2012 03:35:00 AM,09/18/2012 03:35:00 AM,09/18/2012 03:41:00 AM,A,PROPERTY,ROBBERY,Robbery,120,E,G,G1,FIRST HILL,4XX BLOCK OF 12TH AVE,-122.316780581,47.60588517
2012-316025,7626425708,09/18/2012 02:28:00 AM,,09/18/2012 03:19:00 AM,A,PROPERTY,ROBBERY,Robbery,120,W,Q,Q3,SLU/CASCADE,6XX BLOCK OF DENNY WAY,-122.344327968,47.61855857
2012-313490,7630097249,09/15/2012 05:00:00 PM,09/16/2012 03:37:00 AM,09/16/2012 03:37:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,S,S3,RAINIER VIEW,104XX BLOCK OF RENTON AVE S,-122.255332821,47.50710328
2012-309095,7663365042,09/13/2012 03:11:00 AM,,09/13/2012 03:11:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q1,MAGNOLIA,22XX BLOCK OF W DRAVUS ST,-122.385316876,47.64845139
